split,slice_type,slice_value,sample_count,speed_mps_mean,abs_residual_mean,abs_model_comp_mean,abs_gap_mean,mae_lqr_to_opt,mae_pred_to_opt,improvement_abs,comp_to_residual_ratio_mean
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_2\csv_data\Conventional_flatland_no_2_Excellent_Excellent_Seg2.csv,757,1.46582164,0.00116554633,0.00115621788,2.27190742e-05,0.00116554633,2.27190732e-05,0.00114282726,0.997472807
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_2\csv_data\Conventional_flatland_no_2_Excellent_Excellent_Seg6.csv,806,1.27838279,0.00118002243,0.00119312872,3.94710013e-05,0.00118002243,3.94710003e-05,0.00114055143,1.02069949
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_2\csv_data\Conventional_flatland_no_2_Excellent_Excellent_Seg7.csv,742,1.34769933,0.00104843438,0.00105355376,2.81283049e-05,0.00104843438,2.81283044e-05,0.00102030607,1.00998516
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_3\csv_data\Conventional_flatland_no_3_Excellent_Excellent_Seg1.csv,834,1.35876507,0.0010872016,0.00109467732,4.33225939e-05,0.0010872016,4.33225935e-05,0.001043879,1.05845956
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_3\csv_data\Conventional_flatland_no_3_Excellent_Excellent_Seg2.csv,772,1.52374199,0.00116486583,0.0011445114,2.90336007e-05,0.00116486583,2.9033601e-05,0.00113583223,1.03690885
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_3\csv_data\Conventional_flatland_no_3_Excellent_Excellent_Seg3.csv,921,1.2843443,0.00107509021,0.00107572763,2.59592039e-05,0.00107509021,2.59592035e-05,0.001049131,1.01882929
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_3\csv_data\Conventional_flatland_no_3_Excellent_Excellent_Seg4.csv,766,1.45536817,0.0014623016,0.00145743434,4.10245733e-05,0.0014623016,4.10245734e-05,0.00142127703,0.995998218
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_3\csv_data\Conventional_flatland_no_3_Excellent_Excellent_Seg5.csv,709,1.56509045,0.00165523638,0.00161352655,5.30362073e-05,0.00165523638,5.30362073e-05,0.00160220017,0.983105421
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_3\csv_data\Conventional_flatland_no_3_Excellent_Excellent_Seg6.csv,737,1.46682908,0.00147804437,0.00145728586,4.8555289e-05,0.00147804437,4.85552889e-05,0.00142948908,1.51165601
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_3\csv_data\Conventional_flatland_no_3_Excellent_Excellent_Seg7.csv,846,1.45304297,0.00213149356,0.00211759088,0.000128093225,0.00213149356,0.000128093226,0.00200340034,1.00265478
