split,slice_type,slice_value,sample_count,speed_mps_mean,abs_residual_mean,abs_model_comp_mean,abs_gap_mean,mae_lqr_to_opt,mae_pred_to_opt,improvement_abs,comp_to_residual_ratio_mean
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_18\csv_data\Conventional_flatland_no_18_Excellent_Excellent_Seg7.csv,735,1.45533077,0.00145596561,0.00146034633,2.88316656e-05,0.00145596561,2.8831666e-05,0.00142713395,1.00611356
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_19\csv_data\Conventional_flatland_no_19_Excellent_Excellent_Seg1.csv,722,1.41221287,0.00113894408,0.00114447329,4.12855627e-05,0.00113894408,4.12855636e-05,0.00109765851,1.00979718
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_19\csv_data\Conventional_flatland_no_19_Excellent_Excellent_Seg3.csv,818,1.44810108,0.00125381995,0.00125779354,2.98175728e-05,0.00125381995,2.98175731e-05,0.00122400237,1.00419121
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_19\csv_data\Conventional_flatland_no_19_Excellent_Excellent_Seg4.csv,700,1.52043316,0.00160800985,0.00159791488,3.46961406e-05,0.00160800985,3.46961413e-05,0.00157331371,1.00061352
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_19\csv_data\Conventional_flatland_no_19_Excellent_Excellent_Seg5.csv,821,1.41943242,0.0011630911,0.0011853514,5.21173726e-05,0.0011630911,5.21173734e-05,0.00111097373,1.21662189
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_19\csv_data\Conventional_flatland_no_19_Excellent_Excellent_Seg6.csv,734,1.46730175,0.0017065983,0.00170339047,3.62723915e-05,0.0017065983,3.62723928e-05,0.00167032591,1.00558123
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_19\csv_data\Conventional_flatland_no_19_Excellent_Excellent_Seg7.csv,948,1.24608551,0.0013046981,0.00133311662,6.9537728e-05,0.0013046981,6.95377277e-05,0.00123516038,1.04207238
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_1\csv_data\Conventional_flatland_no_1_Excellent_Excellent_Seg3.csv,770,1.44749569,0.00144084825,0.00144587153,2.90017111e-05,0.00144084825,2.90017106e-05,0.00141184654,1.00900985
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_1\csv_data\Conventional_flatland_no_1_Excellent_Excellent_Seg4.csv,866,1.30366928,0.00114947867,0.00116875123,4.35271445e-05,0.00114947867,4.35271451e-05,0.00110595153,1.07436173
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_1\csv_data\Conventional_flatland_no_1_Excellent_Excellent_Seg5.csv,768,1.49108122,0.00123976483,0.001236197,3.62373148e-05,0.00123976483,3.62373145e-05,0.00120352751,1.02041322
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_1\csv_data\Conventional_flatland_no_1_Excellent_Excellent_Seg7.csv,803,1.41173386,0.00175578534,0.00176736427,5.38784409e-05,0.00175578534,5.38784407e-05,0.0017019069,1.01583621
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_1\csv_data\Conventional_flatland_no_1_Excellent_Excellent_Seg8.csv,761,1.42514103,0.00159490941,0.00160411161,3.42606202e-05,0.00159490941,3.426062e-05,0.00156064879,1.01449293
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_20\csv_data\Conventional_flatland_no_20_Excellent_Excellent_Seg1.csv,823,1.32959728,0.00108155449,0.00109306138,4.44392949e-05,0.00108155449,4.44392951e-05,0.0010371152,1.04492719
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_20\csv_data\Conventional_flatland_no_20_Excellent_Excellent_Seg2.csv,798,1.39594182,0.00111225865,0.00111836552,2.46859517e-05,0.00111225865,2.46859509e-05,0.0010875727,1.03400313
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_20\csv_data\Conventional_flatland_no_20_Excellent_Excellent_Seg3.csv,788,1.47425504,0.00147675688,0.00147505301,2.91416996e-05,0.00147675688,2.91416997e-05,0.00144761518,0.996686809
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_20\csv_data\Conventional_flatland_no_20_Excellent_Excellent_Seg4.csv,888,1.27872543,0.00106779174,0.00108162659,3.95419266e-05,0.00106779174,3.95419267e-05,0.00102824981,1.04007782
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_20\csv_data\Conventional_flatland_no_20_Excellent_Excellent_Seg5.csv,836,1.3361554,0.0013559301,0.00138339186,6.21880411e-05,0.0013559301,6.21880401e-05,0.00129374206,1.03336972
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_20\csv_data\Conventional_flatland_no_20_Excellent_Excellent_Seg6.csv,807,1.3558955,0.00135027651,0.0013616375,4.00533012e-05,0.00135027651,4.00533024e-05,0.00131022321,1.01652833
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_20\csv_data\Conventional_flatland_no_20_Excellent_Excellent_Seg7.csv,743,1.50853739,0.00160677972,0.00159055715,3.95931293e-05,0.00160677972,3.95931268e-05,0.00156718659,1.01047098
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_21\csv_data\Conventional_flatland_no_21_Excellent_Excellent_Seg1.csv,182,2.89873857,0.00589685681,0.00588978886,2.99395972e-05,0.00589685681,2.99396054e-05,0.0058669172,0.999546787
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_22\csv_data\Conventional_flatland_no_22_Excellent_Excellent_Seg2.csv,473,3.67047147,0.00159001463,0.0026194174,0.0010411806,0.00159001463,0.00104118061,0.000548834027,1.72337764
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_23\csv_data\Conventional_flatland_no_23_Excellent_Excellent_Seg1.csv,291,0.817542613,0.00137063326,0.00141275518,0.00024998646,0.00137063326,0.000249986462,0.0011206468,1.15104963
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_23\csv_data\Conventional_flatland_no_23_Excellent_Excellent_Seg2.csv,318,1.28340101,0.00159162826,0.0016282327,7.47180987e-05,0.00159162826,7.47180986e-05,0.00151691016,1.16648099
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_2\csv_data\Conventional_flatland_no_2_Excellent_Excellent_Seg2.csv,757,1.46582164,0.00116563851,0.00116560825,2.15836715e-05,0.00116563851,2.15836703e-05,0.00114405484,1.00476573
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_2\csv_data\Conventional_flatland_no_2_Excellent_Excellent_Seg6.csv,806,1.27838279,0.00118150106,0.00120117672,4.09759436e-05,0.00118150106,4.09759427e-05,0.00114052512,1.03140276
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_2\csv_data\Conventional_flatland_no_2_Excellent_Excellent_Seg7.csv,742,1.34769933,0.00104845955,0.00105966949,2.89404236e-05,0.00104845955,2.89404236e-05,0.00101951913,1.01599393
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_3\csv_data\Conventional_flatland_no_3_Excellent_Excellent_Seg1.csv,834,1.35876507,0.00108898658,0.00110161236,4.40022965e-05,0.00108898658,4.40022966e-05,0.00104498428,2.36914222
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_3\csv_data\Conventional_flatland_no_3_Excellent_Excellent_Seg2.csv,772,1.52374199,0.00116482617,0.00115301158,2.67864932e-05,0.00116482617,2.67864928e-05,0.00113803968,1.04302255
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_3\csv_data\Conventional_flatland_no_3_Excellent_Excellent_Seg3.csv,921,1.2843443,0.00107554987,0.00108274803,2.8994582e-05,0.00107554987,2.89945816e-05,0.00104655529,1.04372025
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_3\csv_data\Conventional_flatland_no_3_Excellent_Excellent_Seg4.csv,766,1.45536817,0.00146363508,0.00147023588,4.01761947e-05,0.00146363508,4.01761944e-05,0.00142345888,1.00865836
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_3\csv_data\Conventional_flatland_no_3_Excellent_Excellent_Seg5.csv,709,1.56509045,0.00165651112,0.00162369379,4.97714056e-05,0.00165651112,4.97714043e-05,0.00160673971,0.990558436
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_3\csv_data\Conventional_flatland_no_3_Excellent_Excellent_Seg6.csv,737,1.46682908,0.00147795217,0.00146460151,4.84380555e-05,0.00147795217,4.84380556e-05,0.00142951411,1.31587572
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_3\csv_data\Conventional_flatland_no_3_Excellent_Excellent_Seg7.csv,846,1.45304297,0.00213148485,0.00213067477,0.000126264347,0.00213148485,0.000126264348,0.00200522051,1.0092712
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_4\csv_data\Conventional_flatland_no_4_Excellent_Excellent_Seg1.csv,1559,0.806315695,0.000697988961,0.000687772535,3.0045347e-05,0.000697988961,3.00453473e-05,0.000667943614,1.0112125
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_4\csv_data\Conventional_flatland_no_4_Excellent_Excellent_Seg2.csv,1539,0.803700455,0.000534409685,0.000526523687,2.65206315e-05,0.000534409685,2.65206318e-05,0.000507889054,1.21104138
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_4\csv_data\Conventional_flatland_no_4_Excellent_Excellent_Seg5.csv,1461,0.80318605,0.000416021673,0.000412521638,1.90875774e-05,0.000416021673,1.90875772e-05,0.000396934095,1.0368369
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_4\csv_data\Conventional_flatland_no_4_Excellent_Excellent_Seg6.csv,1498,0.801648249,0.000388697532,0.000377178356,2.71017117e-05,0.000388697532,2.71017118e-05,0.00036159582,1.02917735
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_4\csv_data\Conventional_flatland_no_4_Excellent_Excellent_Seg7.csv,1491,0.803668978,0.000474839419,0.000473054844,1.90375752e-05,0.000474839419,1.90375748e-05,0.000455801844,1.09142889
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_5\csv_data\Conventional_flatland_no_5_Excellent_Excellent_Seg1.csv,1564,0.802290879,0.00092866416,0.000913152816,3.88938366e-05,0.00092866416,3.88938363e-05,0.000889770323,1.08860677
